AD Delta-P SP (psi),AD ROP SP (ft/hr),AD Torque SP (kft·lbf),AD WOB SP (klb),Accum Trip In (bbl),Accum Trip Out (bbl),Annular Velocity (ft/min),BHA Length (ft),Bit MSE (psi),Bit Position (ft),Bit RPM (RPM),Bit Size (in),Bit Time (hr),Bit Weight (klb),Block Height (ft),Bttm Pipe Temp (°F),Casing Pressure (psi),Circulating Hrs (hr),Co. Man G/L (bbl),Cont Az (deg),Cont Inc (deg),DateTime,Depth of Cut (ft),Depth(ft),Diff Press (psi),East West Horizontal (ft),Flow Deviation (%),Flow In Rate (galUS/min),Flow Out Percent (%),G/L Rate - 1 Min (bbl/min),G/L Rate - 5 Min (bbl/min),Gain Loss (bbl),Gain Loss - Spare (bbl),Gamma Depth (ft),Gamma Ray (offset) (API),Hole Depth (ft),Hook Load (klb),Lst Jnt Time (s),ML Mud Temp IN (°F),ML Mud Temp OUT (°F),MSE Downhole (psi),MSE Total (psi),Mud Motor RPM (RPM),Mud Motor Torque (ft·lbf),Mud Temp In (°F),Mud Temp Out (°F),Mud Volume (bbl),Mud Weight In (lb/galUS),North South Horizontal (ft),Pipe Length (ft),Pump Pressure (psi),Pump SPM - Total (SPM),Pump SPM 1 (SPM),Pump SPM 2 (SPM),Pump SPM 3 (SPM),ROP - Average (ft/hr),ROP - Cut Unit (ft/hr),ROP - Fast (ft/hr),Rotary RPM (RPM),Rotary Torque (A),Run Jnt Time (s),Strks - Acc Fill (strokes),Strks - Fill (strokes),Strks - Pump 1 (strokes),Strks - Pump 2 (strokes),Strks - Pump 3 (strokes),Strks - Total (strokes),Suction 1 Pit 9 (bbl),Suction 2 Pit 10 (bbl),Suction 3 Pit 11 (bbl),Surface MSE wMotor (psi),Svy Azimuth (deg),Svy Depth (ft),Svy Inclination (deg),Time On Bottom (hr),Time On Job (hr),Time On Slip (s),Top Drive RPM (RPM),Top Drive Torque (kft·lbf),Total Gas (ML) (lagged) (1%=100 Units),Total Rotations on DP (),Total Trip Volume (bbl),Trip Tank 1 (bbl),Trip Tank 2 (bbl),Trip Tank GL (bbl),WC Bit Weight (klb),WC Torque (ft·lbf),Washout Factor (),Water Pit (bbl)
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,79664.09,10012.0,172.7,9.0,119.8,35.82,47.3,230.0,0.0,242.9,-122.0,88.2,92.4,2023-11-22 10:47:08,0.05,10011.0,291.76,1675.8,100.0,648.0,100.0,-1.04,-0.06,12.0,-40.0,9938.87,118.0,10012.0,207.27,7537.0,96.0,119.0,59478.76,163713.73,168.6,2249.0,91.0,48.0,612.0,8.65,1030.2,8990.8,3506.44,169.0,84.0,85.0,0.0,45.0,45.0,49.0,34.5,34098.0,7054.0,53477.0,38.0,51914.0,12203.0,34785.0,19836.0,69.0,68.0,62.0,690655.63,89.0,-999.25,91.5,119.8,391.6,86.0,34.5,24.7,-999.25,4139.5,33.0,16.0,17.0,-1.0,-149.71,25.0,1.2,163.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,83245.44,10012.99,173.2,9.0,119.8,35.93,46.3,230.0,0.0,242.9,-121.0,88.2,92.4,2023-11-22 10:48:27,0.05,10012.0,331.83,1675.8,100.0,648.0,100.0,0.15,0.36,13.0,-39.0,9940.33,123.0,10012.99,207.08,7537.0,96.0,119.0,64178.28,166722.3,168.6,2395.0,91.0,48.0,613.0,8.65,1030.2,8990.8,3555.19,169.0,84.0,85.0,0.0,50.0,50.0,46.0,34.6,34061.0,7126.0,53477.0,38.0,52015.0,12304.0,34785.0,20038.0,68.0,68.0,62.0,637368.94,89.0,-999.25,91.5,119.8,391.6,86.0,34.6,24.8,-999.25,4151.51,33.0,16.0,17.0,-1.0,-148.98,25.0,1.18,162.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,64460.46,10014.0,177.3,9.0,119.9,35.43,45.3,230.0,0.0,242.9,-122.0,87.9,92.4,2023-11-22 10:49:39,0.04,10013.0,221.95,1675.8,100.0,648.0,100.0,0.23,0.11,12.0,-39.0,9941.18,128.0,10014.0,207.73,7537.0,96.0,119.0,75461.3,193315.59,168.6,2418.0,91.0,48.0,613.0,8.65,1030.2,8990.8,3413.94,169.0,84.0,85.0,0.0,43.0,50.0,41.0,35.5,33506.0,7210.0,53477.0,38.0,52134.0,12424.0,34785.0,20277.0,68.0,68.0,62.0,732997.19,89.0,-999.25,91.5,119.9,391.6,86.0,35.5,24.7,-999.25,4249.4,33.0,16.0,17.0,-1.0,-149.82,25.0,1.23,162.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,59000.43,10015.0,173.9,9.0,119.9,35.94,44.3,230.0,0.0,243.0,-120.0,87.9,92.4,2023-11-22 10:51:03,0.05,10014.0,226.4,1675.8,100.0,648.0,100.0,0.66,0.34,13.0,-38.0,9942.16,118.0,10015.0,206.81,7537.0,96.0,119.0,90988.49,188858.27,168.6,3409.0,91.0,48.0,614.0,8.65,1030.2,8990.8,3476.44,169.0,84.0,85.0,0.0,48.0,48.0,48.0,34.8,33210.0,7286.0,53477.0,38.0,52239.0,12530.0,34785.0,20485.0,68.0,68.0,62.0,660636.63,89.0,-999.25,91.5,119.9,391.6,86.0,34.8,24.8,-999.25,4169.86,33.0,16.0,17.0,-1.0,-149.13,25.0,1.19,161.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,82657.52,10015.98,172.7,9.0,119.9,35.29,43.3,230.0,0.0,243.0,-120.0,87.9,92.4,2023-11-22 10:52:18,0.04,10015.0,266.4,1675.8,100.0,648.0,100.0,0.48,0.24,13.0,-38.0,9943.2,123.0,10015.98,207.41,7537.0,96.0,119.0,61771.31,187791.78,168.6,1909.0,91.0,48.0,614.0,8.65,1030.2,8990.8,3457.69,169.0,84.0,85.0,0.0,41.0,41.0,40.0,34.5,33506.0,7373.0,53477.0,38.0,52362.0,12654.0,34785.0,20735.0,69.0,68.0,62.0,795218.13,89.0,-999.25,91.5,119.9,391.7,86.0,34.5,25.0,-999.25,4140.88,33.0,16.0,17.0,-1.0,-148.78,25.0,1.22,160.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,95630.99,10017.0,173.4,9.0,119.9,35.72,42.3,230.0,0.0,243.0,-129.0,87.9,92.2,2023-11-22 10:53:46,0.04,10016.0,297.84,1675.8,100.0,648.0,100.0,-7.73,-1.54,5.0,-46.0,9944.38,112.0,10017.0,207.24,7537.0,96.0,118.0,95232.61,238441.05,168.6,2608.0,91.0,48.0,605.0,8.65,1030.2,8990.8,3457.69,169.0,84.0,85.0,0.0,39.0,41.0,36.0,34.7,33950.0,7466.0,53477.0,38.0,52493.0,12785.0,34785.0,20997.0,68.0,68.0,62.0,812153.69,89.0,-999.25,91.5,119.9,391.7,86.0,34.7,24.7,-999.25,4159.03,33.0,16.0,17.0,-1.0,-149.57,25.0,1.21,160.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,55165.66,10017.99,174.9,9.0,120.0,35.67,41.3,230.0,0.0,243.0,-134.0,87.5,92.2,2023-11-22 10:55:19,0.04,10017.0,164.88,1675.8,100.0,648.0,100.0,-2.39,-2.35,0.0,-51.0,9945.19,118.0,10017.99,206.94,7537.0,96.0,118.0,78025.91,212470.73,168.6,2207.0,91.0,48.0,600.0,8.65,1030.2,8990.8,3418.94,169.0,84.0,85.0,0.0,38.0,38.0,38.0,35.0,33432.0,7562.0,53477.0,38.0,52627.0,12920.0,34785.0,21263.0,67.0,67.0,61.0,850030.38,89.0,-999.25,91.5,120.0,391.7,86.0,35.0,24.8,-999.25,4195.94,33.0,16.0,17.0,-1.0,-149.5,25.0,1.23,159.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,69942.84,10018.99,172.3,9.0,120.0,35.74,40.3,230.0,0.0,243.1,-134.0,87.5,92.2,2023-11-22 10:56:55,0.04,10018.0,224.41,1675.8,100.0,648.0,100.0,-0.01,-2.5,0.0,-51.0,9946.2,128.0,10018.99,206.84,7537.0,95.0,118.0,64139.87,185518.88,168.6,2055.0,91.0,48.0,601.0,8.65,1030.2,8990.8,3367.69,169.0,84.0,85.0,0.0,40.0,40.0,41.0,34.5,34024.0,7652.0,53477.0,38.0,52753.0,13046.0,34785.0,21516.0,67.0,67.0,60.0,790098.88,89.0,-999.25,91.5,120.0,391.7,86.0,34.5,24.8,-999.25,4135.14,33.0,16.0,17.0,-1.0,-148.69,25.0,1.23,158.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,73396.78,10019.99,177.2,9.0,120.0,35.89,39.3,230.0,0.0,243.1,-133.0,87.5,92.2,2023-11-22 10:58:25,0.04,10019.0,239.23,1675.8,100.0,648.0,100.0,0.94,-1.35,1.0,-51.0,9947.21,128.0,10019.99,206.49,7537.0,95.0,118.0,58038.07,183867.77,168.6,1800.0,91.0,48.0,601.0,8.65,1030.2,8990.8,3427.69,169.0,84.0,85.0,0.0,41.0,41.0,39.0,35.4,33506.0,7741.0,53477.0,38.0,52878.0,13172.0,34785.0,21765.0,67.0,67.0,61.0,774335.31,89.0,-999.25,91.5,120.0,391.8,86.0,35.4,24.7,-999.25,4253.8,33.0,16.0,17.0,-1.0,-148.7,25.0,1.2,157.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,83639.49,10021.0,173.4,9.0,120.0,35.28,38.3,230.0,0.0,243.1,-133.0,87.5,92.2,2023-11-22 10:59:53,0.04,10020.0,253.85,1675.8,100.0,648.0,100.0,0.26,0.27,1.0,-50.0,9948.01,123.0,10021.0,207.2,7537.0,95.0,118.0,95317.31,218780.88,168.6,2898.0,90.0,48.0,602.0,8.65,1030.2,8990.8,3452.69,169.0,84.0,85.0,0.0,38.0,38.0,39.0,34.7,33654.0,7836.0,53477.0,38.0,53011.0,13305.0,34785.0,22033.0,67.0,67.0,60.0,844441.5,89.0,-999.25,91.5,120.0,391.8,86.0,34.7,25.0,-999.25,4163.9,33.0,16.0,17.0,-1.0,-149.42,25.0,1.19,157.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,94304.32,10022.0,175.1,9.0,120.1,35.54,37.3,230.0,0.0,243.1,-133.0,87.5,92.2,2023-11-22 11:01:29,0.04,10021.0,300.3,1675.8,100.0,648.0,100.0,-1.36,-0.1,1.0,-51.0,9949.21,138.0,10022.0,206.66,7537.0,95.0,118.0,91529.45,210721.86,168.6,2838.0,90.0,48.0,601.0,8.65,1030.2,8990.8,3496.44,169.0,84.0,85.0,0.0,40.0,40.0,40.0,35.0,33358.0,7926.0,53477.0,38.0,53139.0,13433.0,34785.0,22288.0,67.0,67.0,60.0,797854.88,89.0,-999.25,91.5,120.1,391.8,86.0,35.0,24.8,-999.25,4203.8,33.0,16.0,17.0,-1.0,-148.17,25.0,1.23,156.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,98048.09,10022.99,175.2,9.0,120.1,35.41,36.3,230.0,0.0,243.2,-133.0,88.2,92.2,2023-11-22 11:02:59,0.04,10022.0,315.47,1675.8,100.0,648.0,100.0,-0.13,0.02,1.0,-50.0,9950.22,128.0,10022.99,206.91,7537.0,95.0,118.0,68523.63,195640.02,168.6,2078.0,90.0,48.0,602.0,8.65,1030.2,8990.8,3563.94,169.0,84.0,85.0,0.0,40.0,40.0,40.0,35.0,33516.0,8016.0,53477.0,38.0,53263.0,13559.0,34785.0,22541.0,67.0,67.0,60.0,779207.31,89.0,-999.25,91.5,120.1,391.8,86.0,35.0,24.5,-999.25,4207.83,33.0,16.0,17.0,-1.0,-149.01,24.0,1.18,155.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,65856.59,10024.0,172.7,9.0,120.1,35.85,35.3,230.0,0.0,243.2,-132.0,88.2,92.2,2023-11-22 11:04:29,0.04,10023.0,227.23,1675.8,100.0,648.0,100.0,0.11,0.15,1.0,-50.0,9950.83,148.0,10024.0,206.47,7537.0,95.0,118.0,69132.42,178470.2,168.6,2393.0,90.0,48.0,602.0,8.65,1030.2,8990.8,3473.94,169.0,84.0,85.0,0.0,43.0,40.0,44.0,34.5,33358.0,8100.0,53477.0,38.0,53382.0,13678.0,34785.0,22779.0,67.0,67.0,60.0,731478.31,89.0,-999.25,91.5,120.1,391.9,86.0,34.5,24.7,-999.25,4148.23,33.0,16.0,17.0,-1.0,-148.59,25.0,1.21,155.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,83878.83,10025.0,172.1,9.0,120.1,35.79,34.3,230.0,0.0,243.2,-132.0,88.2,92.2,2023-11-22 11:05:53,0.04,10024.0,290.53,1675.8,100.0,648.0,100.0,1.08,-0.1,1.0,-50.0,9952.17,179.0,10025.0,206.29,7537.0,95.0,118.0,80069.82,191675.88,168.6,2692.0,90.0,48.0,602.0,8.65,1030.2,8990.8,3468.94,169.0,84.0,85.0,0.0,43.0,43.0,41.0,34.4,33654.0,8184.0,53477.0,38.0,53499.0,13795.0,34785.0,23010.0,67.0,67.0,60.0,728678.81,89.0,-999.25,91.5,120.1,391.9,86.0,34.4,24.7,-999.25,4134.07,33.0,16.0,17.0,-1.0,-148.59,25.0,1.18,154.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,69927.98,10026.0,175.2,9.0,120.2,35.97,33.3,232.0,0.0,243.2,-132.0,88.2,92.2,2023-11-22 11:07:17,0.04,10025.0,248.1,1675.8,100.0,648.0,100.0,1.4,0.12,2.0,-49.0,9953.18,194.0,10026.0,206.56,7537.0,95.0,118.0,75526.34,187615.88,168.6,2574.0,90.0,48.0,603.0,8.65,1030.2,8990.8,3387.69,169.0,84.0,85.0,0.0,44.0,44.0,44.0,35.0,33802.0,8266.0,53477.0,38.0,53614.0,13911.0,34785.0,23244.0,67.0,67.0,60.0,708204.06,89.0,-999.25,91.5,120.2,391.9,86.0,35.0,24.5,-999.25,4208.98,33.0,16.0,17.0,-1.0,-149.24,25.0,1.22,153.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,64099.18,10026.99,170.3,9.0,120.2,35.94,32.3,232.0,0.0,243.3,-131.0,88.2,92.2,2023-11-22 11:08:38,0.04,10026.0,219.54,1675.8,100.0,648.0,100.0,0.1,0.26,3.0,-48.0,9954.13,169.0,10026.99,206.12,7537.0,95.0,110.0,66689.48,192687.06,168.6,2037.0,90.0,48.0,603.0,8.65,1030.2,8990.8,3437.69,169.0,84.0,85.0,0.0,43.0,43.0,38.0,34.1,33722.0,8350.0,53477.0,38.0,53731.0,14029.0,34785.0,23479.0,67.0,67.0,60.0,741791.75,89.0,-999.25,91.5,120.2,391.9,86.0,34.1,24.8,-999.25,4094.06,28.0,14.0,14.0,-6.0,-148.4,25.0,1.21,152.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,63583.32,10027.99,174.4,9.0,120.2,35.75,31.3,232.0,0.0,243.3,-119.0,88.2,92.2,2023-11-22 11:10:03,0.04,10027.0,195.2,1675.8,100.0,648.0,100.0,7.64,2.39,15.0,-37.0,9955.4,179.0,10027.99,206.1,7537.0,95.0,101.0,77399.49,203856.42,168.6,2358.0,90.0,48.0,615.0,8.65,1030.2,8990.8,3401.44,169.0,84.0,85.0,0.0,38.0,38.0,38.0,34.9,33802.0,8444.0,53477.0,38.0,53864.0,14163.0,34785.0,23746.0,68.0,67.0,61.0,829374.56,89.0,-999.25,91.5,120.2,391.9,86.0,34.9,24.9,-999.25,4193.65,16.0,8.0,8.0,-18.0,-147.79,25.0,1.24,152.0
604.16,75.0,28.0,35.0,474.0,3914.0,57.6,1073.1,46363.61,10028.98,173.3,9.0,120.2,35.11,30.3,232.0,0.0,243.3,-109.0,88.2,92.2,2023-11-22 11:11:37,0.05,10028.0,161.86,1675.8,100.0,648.0,100.0,6.47,4.64,0.0,-27.0,9956.1,220.0,10028.98,206.46,7537.0,95.0,101.0,58695.84,159901.83,168.6,2208.0,90.0,48.0,625.0,8.65,1030.2,8990.8,3363.94,169.0,84.0,85.0,0.0,45.0,44.0,50.0,34.7,33506.0,8526.0,53477.0,38.0,53979.0,14278.0,34785.0,23974.0,69.0,68.0,62.0,713373.44,89.0,-999.25,91.5,120.2,392.0,86.0,34.7,24.3,-999.25,4165.81,11.0,5.0,6.0,-23.0,-149.08,24.0,1.24,151.0
